question,source,retrieved_doc_ids
What is the significant difference noticed in the packing shed's operation with biosecurity measures?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Design requirments.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf']"
"What were the key observations made during the banana de-handing process in the packing facilities in the Innisfail/Tully region of North Queensland, Australia?",['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf']"
What are the core steps observed during the banana de-handing process in the packing sheds visited in Innisfail and Tully?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What types of knives were observed in use for banana de-handing in Innisfail and Tully?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Literature review.docx.pdf', 'Literature review.docx.pdf', 'Literature review.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What does the data in Table 1 show about the mean time and variance to remove a hand of bananas from a bunch at each farm visited?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf']"
"What is the percentage of time banana de-handers are actively de-handing fruit on average at the sample farms in the Innisfail/Tully region of North Queensland, Australia?",['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf']"
"What is the percentage of time spent de-handing at Farm 3 in the Innisfail/Tully region of North Queensland, Australia?",['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What is the mean time to de-hand a hand of bananas for De-hander two in packing shed two on Farm 2?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf']"
What are the different roles undertaken by the de-handers in Farm 3 based on the mean time taken to de-hand bananas?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf', 'Cost-benefit annalysis.xlsx.pdf']"
"What additional tasks were performed by workers in packing sheds 1 and 5 while de-handing bananas, and how did it affect the time taken compared to sheds 2, 3, and 4?",['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf']"
What are the benefits of adopting robotic systems for de-handing solutions according to the paragraph?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What could provide an alternative strategy for customised removal of each banana hand according to the paragraph?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf']"
What is the ideal visual marker for a robotic banana de-hander according to the observations in the paragraph?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What is the significance of the abscission line in banana de-handing process?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Literature review.docx.pdf', 'Literature review.docx.pdf', 'Literature review.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What are the three potential options presented for automating banana de-handing and how do they distinguish themselves from previous attempts?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What technologies are available to expedite some aspects of the robotic banana de-hander process?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What technologies would a banana de-hander leverage for its operation?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Literature review.docx.pdf', 'Literature review.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf']"
What are the key considerations for developing a robotic banana de-hander according to the given paragraph?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What represents the most significant investment in research and development among the options presented for banana processing?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Project Plan.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
How does the proposed submersion de-hander remove banana hands from the bunch?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Literature review.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf']"
What technologies are mentioned for the robotic banana de-handling process?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What tasks would the proposed submersion de-hander need to perform according to the paragraph?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf']"
What is the purpose of sap proofing in the development of the robotic banana de-hander?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
How could the attachment of the bunch to the lifting and positioning mechanism be resolved in the context of the robotic arm system described in the paragraph?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf', 'Literature review.docx.pdf', 'Evolve Group Product Assembly MVP Project.docx.pdf']"
What is the proposed approach for de-handing bananas from below and how does it work?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf', 'Literature review.docx.pdf']"
How does the robot remove the banana hands in the banana de-handing process described in the paragraph?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf']"
What technologies are proposed for developing the robotic banana de-hander for the packing shed?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf']"
What tasks are included for the proposed controller to operate the robot in the banana packing shed?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Project Plan.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What modifications are required in the banana packing shed to facilitate attaching the bunches to the lifting and rotating mechanism?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Literature review.docx.pdf', 'Literature review.docx.pdf', 'Literature review.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What is the proposed approach for automating the banana de-handing process according to the paragraph?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What are the pros and cons of using a pneumatic knife for de-handing bananas according to the paragraph?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Literature review.docx.pdf', 'Literature review.docx.pdf', 'Literature review.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What are the pros and cons of using a water jet for cutting banana hands from bunches?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf', 'Design requirments.docx.pdf']"
What are the pros and cons of using the cut edge of the banana hand for cutting banana hands from bunches?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Literature review.docx.pdf', 'Literature review.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf']"
What are the key components of the cost benefit analysis for incorporating automated robotic dehanding into existing farm processes according to the paragraph?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'Design requirments.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Project Plan.docx.pdf']"
What are the anticipated outcomes at the completion of a TRL5 prototype for the banana de-handing technique?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Project Plan.docx.pdf', 'Project Plan.docx.pdf']"
"What is the purpose of identifying, purchasing, and commissioning a robot arm for handling banana bunches in the given paragraph?",['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What is the basis for developing metrics to compare manual banana de-handing and the proposed automation options?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What are the key areas explored in the cost-benefit analysis for further development in the detailed design?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['initial assessment_Leakster_sprints_v1_05.04.22.docx.pdf', 'YGCC Project Plan.docx.pdf', 'Project Plan.docx.pdf', '20221222_BUD_ARM_Project Costing_TC_1.0.xlsx.pdf']"
What are the tangible costs associated with de-handing bananas?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Cost-benefit annalysis.xlsx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Design requirments.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf']"
What are the key cost components associated with the robotic banana de-handing process mentioned in the paragraph?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Cost-benefit annalysis.xlsx.pdf', 'Project Plan.docx.pdf', 'Project Plan.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What are the core set of de-handing tasks identified at the packing sheds for banana processing?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf', 'Literature review.docx.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf']"
What advancements provide promising opportunities for the development of a viable de-handing solution according to the feasibility study?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
What is the purpose of establishing and using a laboratory robotic cell in the development process?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['CLS01 Project Update for Comms 210817.docx.pdf', 'DRAFT MS 2. System Design Report 201223.docx.pdf', 'Feedback to PWR.docx.pdf', 'results and recomendations TC 11052022.docx.pdf']"
"What is the ergonomic evaluation of musculoskeletal risks in banana harvesting activity focused on, and what methods were used for the evaluation?",['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Literature review.docx.pdf']"
Who is the author of the paper titled 'CN106900280A Inserting and cutting-type banana comb drop tool' and when was it published?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Literature review.docx.pdf', 'Literature review.docx.pdf', 'Literature review.docx.pdf', 'Literature review.docx.pdf']"
What is the title of the patent related to a self-locking type banana ear and ear rod clamping device that can be turned over in 2016?,['20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf'],"['Literature review.docx.pdf', 'Literature review.docx.pdf', 'Literature review.docx.pdf', 'Literature review.docx.pdf']"
What project has ARM Hub proposed to Chair Solutions in the submitted proposal?,['20220705_CS_ARM Hub Proposal 01.001.pdf'],"['20221025_BAE_ARM Hub Proposal 01.001 - OLD.docx.pdf', '20220705_CS_ARM Hub Proposal 01.001.pdf', '20221025_BAE_ARM Hub Proposal 01.001 - OLD.docx.pdf', '20220705_CS_ARM Hub Proposal 01.001.pdf']"
What organization was invited to propose a project to provide an Automated Caster Assembly System?,['20220705_CS_ARM Hub Proposal 01.001.pdf'],"['20220705_CS_ARM Hub Proposal 01.001.pdf', 'Delphi Potential Projects.pdf', '20221025_BAE_ARM Hub Proposal 01.001 - OLD.docx.pdf', 'DRAFT MS 2. System Design Report 201223.docx.pdf']"
What are the core capabilities of the ARM Hub in plant automation proposal?,['20220705_CS_ARM Hub Proposal 01.001.pdf'],"['BRII - Figure 1 Initial System Architecture Concept.docx.pdf', 'ATTACHMENT 1 ARM Hub Flyer.pdf', 'AIS-Water_ARM Hub NEO automated assembly line training proposal_v1.docx.pdf', 'AIS-Water_ARM Hub NEO automated assembly line training proposal_Bosh_v1.pdf']"
What are the core services offered by the ARM Hub for businesses new to the hub?,['20220705_CS_ARM Hub Proposal 01.001.pdf'],"['ATTACHMENT 1 ARM Hub Flyer.pdf', '20221025_BAE_ARM Hub Proposal 01.001 - OLD.docx.pdf', 'ARM Hub Brief, UQ Partnerships and DVCR 20230724[66].docx.pdf', 'ARM Hub Brief, UQ Partnerships and DVCR 20230724[66].docx.pdf']"
What is the collaborative approach in Phase 1 of the proposal?,['20220705_CS_ARM Hub Proposal 01.001.pdf'],"['Infrastructure CoLab Briefing Note - Informal Working Group.pdf', 'Agrifutures RFQ Non CIC.pdf', 'Arm Hub Workshop 02.02.2021 Final.pptx.pdf', 'MS 1. System Requirements  CONOPS Report Final V1.pdf']"
What are the indicative timeframes provided for the project phases in the given paragraph?,['20220705_CS_ARM Hub Proposal 01.001.pdf'],"['MS 1. System Requirements  CONOPS Report Final V1.pdf', 'project proposal.docx.pdf', 'BAE Project Proposal.xlsx.pdf', 'Evolve Group Product Assembly MVP Project.docx.pdf']"
What is Will's expertise and experience in the field of Ai and robotics?,['20220705_CS_ARM Hub Proposal 01.001.pdf'],"['Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '20221025_BAE_ARM Hub Proposal 01.001 - OLD.docx.pdf', '20220705_CS_ARM Hub Proposal 01.001.pdf']"
What was the aim of the project CLS01 Consolidated Linen Towel Unfolding Prototype Report?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf', 'Consolidated Linen Project Report.docx.pdf', 'CLS01 Preliminary Work Report.docx.pdf']"
What is the key information related to Computer Vision in the given paragraph?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf', 'Consolidated Linen Project Report.docx.pdf', '20221024_REP_CLS01 Final Report (1).pdf']"
What is the content of Appendix 1 in the given paragraph?,['20221024_REP_CLS01 Final Report.pdf'],"['AS1100.101-1992-Technical-Dwgs.pdf', 'Milestone 190 final report draft.docx.pdf', 'AS1100.101-1992-Technical-Dwgs.pdf', '20221024_REP_CLS01 Final Report (1).pdf']"
What was the aim of the project described in the paragraph?,['20221024_REP_CLS01 Final Report.pdf'],"['BRII Draft Application OLD.docx (1).pdf', 'BRII Draft Application OLD.docx.pdf', 'MIQ Grant Application CS.docx.pdf', 'MIQ Grant Application CS.docx.pdf']"
What specific task in the laundry automation project focused on towel unfolding?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf']"
What are the key components of the development path towards widespread commercialisation mentioned in the paragraph?,['20221024_REP_CLS01 Final Report.pdf'],"['BRII Draft Application OLD.docx.pdf', 'BRII Draft Application OLD.docx (1).pdf', 'BRII Draft Application OLD.docx.pdf', 'BRII Draft Application OLD.docx (1).pdf']"
How does the system described in the paragraph initially stretch out the towel and prepare it for the next machine?,['20221024_REP_CLS01 Final Report.pdf'],"['CLS01 Preliminary Work Report.docx.pdf', '20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report.pdf']"
What is the method outlined in the paper titled 'Dual edge classifier for robust cloth unfolding' for grabbing the adjacent corners of a held towel corner?,['20221024_REP_CLS01 Final Report.pdf'],"['Consolidated Linen Project Report.docx.pdf', '20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf']"
How was the quick prototype system assembled to take advantage of the properties observed with the towel unfolding process?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf']"
What setup was used to create a sort of die or mandrel for the robot in the experiment described in the paragraph?,['20221024_REP_CLS01 Final Report.pdf'],"['Delphi Potential Projects.pdf', 'DRAFT MS 2. System Design Report 201223.docx.pdf', 'MS 1. System Requirements  CONOPS Report Final V1.pdf', 'Evolve Group Product Assembly MVP Project.docx.pdf']"
What were some of the concerns and limitations identified during the testing of the towel unfolding system prototype?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf']"
"What option did the client choose for developing the new system, and what were the key features of this choice?",['20221024_REP_CLS01 Final Report.pdf'],"['Consolidated Linen Project Report.docx.pdf', 'CLS01 Project Update for Comms 210817.docx.pdf', 'CLS01 Preliminary Work Report.docx.pdf', '20221024_REP_CLS01 Final Report (1).pdf']"
What are the key components of the prototype system described in the paragraph?,['20221024_REP_CLS01 Final Report.pdf'],"['MS 1. System Requirements  CONOPS Report Final V1.pdf', 'DRAFT MS 2. System Design Report 201223.docx.pdf', '20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf']"
What are the key components of the computer vision system used in the project described in the paragraph?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf']"
What is the purpose of furthest point detection in the given paragraph?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf', 'Consolidated Linen Project Report.docx.pdf', '20221024_REP_CLS01 Final Report.pdf']"
What is the technique used in the edge classification algorithm based on the Gabas paper?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf', 'Consolidated Linen Project Report.docx.pdf', '20221024_REP_CLS01 Final Report (1).pdf']"
How is a 'real' corner detected and classified in the given algorithm implementation?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf', 'Consolidated Linen Project Report.docx.pdf', '20221024_REP_CLS01 Final Report.pdf']"
How are the corners of the towel handled in the system and why is extra information about the corners ignored?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf']"
How are the points where the circles intersect with the classified edges used to classify the corners in the system architecture described in the paragraph?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf', 'Consolidated Linen Project Report.docx.pdf', '20221024_REP_CLS01 Final Report (1).pdf']"
What is the role of the Pilz Industrial Motion Planner in the robot control system described in the paragraph?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf', 'DRAFT MS 2. System Design Report 201223.docx.pdf', 'DRAFT MS 2. System Design Report 201223.docx.pdf']"
What is the process followed by the scheduler node to handle the towels in the container?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf', 'Consolidated Linen Project Report.docx.pdf', '20221024_REP_CLS01 Final Report.pdf']"
What algorithm is used to determine the lowest point in the set region of space where the towel should be placed?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf']"
How does the system determine the side length of the towel between the two grabbed corners and flatten it out?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf', 'CLS01 Preliminary Work Report.docx.pdf', '20221024_REP_CLS01 Final Report.pdf']"
What is the cycle time of the system when a successful grab on the first attempt is made?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf']"
What are some key observations regarding the success rate and limitations of the left and right arms in grabbing corners from the towel?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf', 'Consolidated Linen Project Report.docx.pdf', '20221024_REP_CLS01 Final Report.pdf']"
How could mounting the robot arms on their sides or suspending them upside down improve the workspace and camera setup?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf', 'results and recomendations TC 11052022.docx.pdf', 'Consolidated Linen Project Report.docx.pdf']"
What are some factors that could help drop the cycle time significantly in the given scenario?,['20221024_REP_CLS01 Final Report.pdf'],"['Business Case bendpro 01 draft.xlsx.pdf', '20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report.pdf']"
What are some key areas that may present issues in a commercial system and require further investigation based on the paragraph?,['20221024_REP_CLS01 Final Report.pdf'],"['initial assessment_Leakster_sprints_v1_05.04.22.docx.pdf', '20210618_aqua advance site notes_v1.docx.pdf', '20210618_aqua advance site notes_v2.docx.pdf', 'initial assessment_Leakster_sprints_v1_05.04.22.docx.pdf']"
What are some of the critical environmental factors that need to be considered for the system handling towels in commercial offerings?,['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf', 'CLS01 Preliminary Work Report.docx.pdf', 'Consolidated Linen Project Report.docx.pdf']"
What development questions were raised during the prototyping work mentioned in the paragraph?,['20221024_REP_CLS01 Final Report.pdf'],"['project proposal.docx.pdf', 'YGCC Project Plan.docx.pdf', 'MS 1. System Requirements  CONOPS Report Final V1.pdf', 'Appendix 3 - Transcribed Interview Data.docx.pdf']"
"What were the practical and commercial learnings from the integrated pilot system project, specifically related to software architecture, control, computer vision architecture, and workspace layout?",['20221024_REP_CLS01 Final Report.pdf'],"['CLS01 Project Update for Comms 210817.docx.pdf', '20221024_REP_CLS01 Final Report (1).pdf', '20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf']"
What was the aim of the project and was it achieved successfully?,['20221024_REP_CLS01 Final Report.pdf'],"['CLS01 Project Update for Comms 210817.docx.pdf', '20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf', 'BRII Draft Application OLD.docx.pdf']"
"According to CLS's Tom Roberts, what is the biggest benefit seen from the project and how does he envision its future impact on the laundry industry?",['20221024_REP_CLS01 Final Report.pdf'],"['20221024_REP_CLS01 Final Report.pdf', '20221024_REP_CLS01 Final Report (1).pdf', 'CLS01 Project Update for Comms 210817.docx.pdf', '20221024_REP_CLS01 Final Report.pdf']"
Who is the Project Leader for the Real Time Machine Vision Enabled Drones for Search and Rescue Emergencies project?,['ADR Project Agreement Draft 110121 (002).docx.pdf'],"['ADR Project Agreement Draft 110121 (002).docx.pdf', 'ADR Project Agreement Draft 110121 (002).docx.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', 'AIS-Water_ARM Hub NEO automated assembly line training proposal_Bosh_v1.docx.pdf']"
What problem/gap/opportunity is this manufacturing R&D project intending to solve/fill/create?,['ADR Project Agreement Draft 110121 (002).docx.pdf'],"['16  - AIDCC TASCRC Project Exemplar.pdf', 'Flyer-ManufacturingLinkage.pdf', 'ADR Project Agreement Draft 110121 (002).docx.pdf', 'MIQ Grant Application CS.docx.pdf']"
